# z         Log L_0.5-2keV
     0.550000      42.9659
     0.731000      42.9885
      3.01000      43.6462
      1.03500      42.6415
      1.08500      42.7979
      1.37200      42.9150
      1.19100      42.9953
      1.53000      44.2804
      1.02400      42.5178
      1.42600      43.1303
      1.24200      42.3364
      1.65000      43.9797
      1.90700      43.0317
      1.42000      43.0412
     0.346000      43.7799
      1.13700      42.9307
     0.962000      42.4112
      2.70400      43.9855
      1.25800      43.6939
     0.686000      43.2404
      1.18000      42.9959
     0.734000      42.8188
      2.14700      43.6286
      2.90900      43.3942
     0.658000      43.0145
      2.45000      43.5547
      1.40600      43.8980
      1.62600      43.5522
      1.47800      43.7582
      1.74300      43.5404
      1.02200      42.5699
      1.97400      43.7950
      2.88700      43.9656
      2.16400      43.4713
      1.32300      43.4711
      1.26000      42.8288
      1.76200      43.0744
      2.05500      43.6045
      2.28800      44.3625
     0.961000      43.5312
      2.15900      43.3116
      1.92700      43.4337
     0.837000      42.5443
      3.15500      43.7821
      1.45600      42.9502
      1.79600      44.2633
     0.850000      43.7268
     0.560000      43.0029
      1.25700      43.3487
     0.424000      42.9487
      2.81000      43.4125
      2.28300      43.8616
     0.125000      40.4663
     0.843000      43.2338
     0.548000      42.2560
     0.976000      42.8090
     0.669000      43.6605
      1.17100      43.6981
     0.329000      41.4086
      2.32500      43.3687
      1.54100      43.5627
     0.967000      44.0390
      1.96100      43.2305
      1.51800      43.7651
      2.01600      43.6658
     0.899000      43.1888
     0.889000      42.7875
      1.45700      43.3704
      1.45400      44.4114
      1.23600      44.4967
     0.490000      41.6884
     0.909000      43.5635
     0.938000      42.8977
     0.909000      42.6769
      2.73500      43.9006
     0.363000      41.7527
      1.18900      43.4979
      4.10800      44.5647
      1.52800      43.4594
      1.02100      43.2507
     0.740000      42.7191
      1.13100      43.7926
      1.12200      43.2743
      1.51700      44.0182
      1.12200      44.3686
      1.12700      43.3947
      2.09700      43.4723
     0.658000      43.1185
      1.53300      42.9893
      1.05400      43.1459
      1.10100      43.4544
      3.29700      44.0062
     0.943000      43.4122
      2.69200      43.4955
     0.764000      42.1250
      1.58200      42.8636
      3.01700      43.9560
      1.78700      43.8826
     0.931000      42.6540
      1.84600      43.6976
      1.79600      43.8091
     0.786000      42.9268
     0.625000      42.5781
     0.667000      42.4117
     0.882000      43.6511
     0.968000      42.9377
      1.41500      42.6799
     0.971000      43.7084
      1.69800      43.0216
      2.14900      43.2754
      1.68300      42.8581
      1.29800      43.2803
      2.01000      43.6109
     0.406000      42.5888
      1.63900      43.8472
     0.876000      42.6757
      1.80800      43.7562
     0.945000      42.7946
      1.99800      43.5500
     0.827000      43.2539
     0.879000      43.1049
     0.868000      42.9437
      1.59600      43.8288
      1.52000      43.2314
      3.10000      44.2910
      1.00300      43.1191
      1.08000      42.7593
      1.32000      43.4502
     0.698000      42.5005
     0.220000      41.5493
     0.728000      42.4470
      1.02600      42.5001
      1.45800      43.9026
      1.31800      43.0503
     0.720000      43.0139
      1.79700      43.3273
      1.79800      43.8251
      1.54100      43.3904
     0.958000      42.1861
      2.08200      44.0546
     0.508000      41.4644
     0.972000      42.2279
      2.15200      43.7620
      2.05000      43.3660
      2.79800      44.0312
      2.11100      44.0871
      1.70800      44.1968
     0.880000      42.1125
      2.15100      43.7589
      2.50800      43.3127
      1.18900      43.5576
     0.483000      41.9367
      2.03200      43.3488
      1.59300      42.9298
      1.51400      43.7877
      1.77400      43.7080
      1.37100      42.9436
      1.02000      42.5236
     0.894000      42.2976
     0.237000      41.8274
      1.00000      42.4204
      1.83600      44.0272
      1.27100      43.4668
      1.08100      42.9695
     0.904000      43.0593
     0.838000      43.2153
      1.95000      43.1069
      1.45500      43.5624
      2.02200      43.6455
      1.34300      43.6312
      1.94300      43.6070
      1.49000      43.3532
      1.29500      44.2210
      1.77900      43.1511
      1.40700      44.3894
      1.47800      43.1479
      2.57100      43.2268
     0.892000      42.5350
     0.666000      42.2162
      1.55700      43.4628
      1.23300      42.8239
     0.677000      42.6169
      2.51000      43.2087
     0.580000      42.8450
      1.00200      42.5491
      1.91400      44.0034
      1.17400      42.5540
      1.95100      43.8023
     0.518000      42.6834
     0.218000      41.2591
      1.43600      43.7613
      2.09900      43.6674
      2.30800      43.6197
      1.04200      43.8466
      2.74100      43.1425
      1.83600      43.9323
      2.68200      43.6270
     0.329000      42.5419
      1.28100      43.6324
     0.826000      43.6717
     0.349000      42.3952
     0.124000      41.4278
      1.27800      43.1833
      2.02000      43.9905
    0.0610000      40.0704
     0.885000      42.4081
      3.32800      44.0747
     0.668000      43.3080
      3.46400      43.3018
      1.36900      43.5504
      2.03000      44.7559
     0.986000      43.6402
      1.29900      43.0240
     0.618000      42.4318
      1.36800      42.5944
     0.894000      43.3171
      1.77600      42.9124
     0.425000      41.9773
      2.66100      43.4107
      1.39300      43.1650
      2.45900      43.4367
      2.47900      43.2990
     0.121000      41.2889
      2.04500      43.1241
      1.51200      43.8758
      2.04300      43.2668
      2.38200      43.0205
      1.67400      42.8845
     0.969000      42.3270
      1.20700      43.1608
      2.82100      43.0807
      2.08500      43.6663
     0.353000      41.7884
     0.621000      43.2573
     0.954000      42.5531
     0.479000      42.5954
     0.950000      42.0073
     0.839000      42.2455
      1.11700      42.6179
      1.97700      43.2638
      3.06500      43.5939
      3.68100      43.7472
     0.979000      43.9018
     0.670000      42.1124
      3.29700      43.6388
     0.936000      42.4035
      3.37200      43.7719
     0.828000      42.0902
     0.859000      42.2355
      1.65700      43.1092
      1.64000      42.6278
      1.97600      42.5941
      1.63800      43.4754
      3.19100      43.2789
     0.742000      42.2862
     0.976000      42.4287
      1.32000      42.8131
      2.11300      43.1317
      1.11300      42.6270
      2.54800      43.5174
     0.728000      43.4744
     0.925000      42.6713
      1.39600      43.2087
      2.41000      43.4921
      2.88800      43.5823
      2.88300      43.1125
     0.891000      42.8526
      2.89000      43.5792
     0.110000      40.6508
      2.47500      44.0875
      2.56900      42.9297
      2.90000      43.4019
      2.31000      43.3345
      1.75200      42.9738
      2.96200      43.3231
     0.866000      42.4962
      2.52400      43.2135
      1.48200      43.3548
    0.0440000      40.6486
      1.12100      42.6169
      2.91800      43.7854
      1.16900      42.5123
      1.77200      43.0530
      3.42600      43.4670
     0.907000      42.9422
     0.404000      42.5229
      1.76900      43.0239
     0.696000      43.3273
      2.76600      43.6948
      1.84500      43.0897
     0.371000      41.5600
      2.08500      42.8316
      1.24000      42.8508
      1.00800      43.1310
      2.24700      43.6849
      3.02900      43.9745
     0.781000      42.0192
      1.98000      43.1003
      2.15500      43.1835
     0.926000      42.9026
      1.14700      42.5279
      1.94700      43.2004
      1.77800      42.6498
      1.17800      42.5981
     0.814000      42.3322
      1.72000      42.9729
      2.15800      43.2225
     0.688000      42.7242
      1.25800      42.4827
     0.361000      41.7192
     0.899000      43.0971
      2.64900      43.3460
      4.66000      43.9358
      1.67300      43.0804
     0.122000      40.2584
      3.47800      43.2257
      2.16400      42.9703
      2.47400      42.7315
      2.33000      43.3586
     0.979000      43.6923
      2.65200      43.3151
      2.00700      42.9812
      1.44200      42.7519
     0.758000      42.1827
      1.51400      42.4591
     0.775000      42.1853
     0.727000      41.7453
     0.907000      42.0350
      2.68400      42.9169
     0.918000      42.5088
      1.79600      43.1889
      2.07900      42.9903
      1.99100      43.4742
     0.342000      41.2391
     0.344000      41.2278
      4.03200      43.7533
      2.15000      43.0131
      1.10900      42.7539
      1.40500      42.7889
      1.84400      43.0251
      1.57900      43.0472
      1.67600      43.1507
     0.354000      41.5822
     0.884000      42.0036
     0.885000      42.0971
      3.07500      43.9176
     0.946000      42.3553
      1.91900      43.1031
      2.99000      43.3671
      2.41400      42.9398
     0.819000      42.1645
      2.09300      42.8931
      2.10100      43.5544
     0.859000      42.1173
      2.10500      42.8222
      1.24500      42.5756
      1.34900      42.9755
     0.687000      41.9220
      1.66900      42.5354
      1.83100      43.9128
      2.06300      42.5706
      1.61700      43.0172
      1.15500      42.6643
      1.59800      44.4086
