#R-K     X/O
      3.62509    -0.192713
      3.03818     0.483773
      2.79562    -0.112350
      2.49832     0.428762
      1.98763    -0.144145
      2.30391     0.641192
      3.98480     0.464693
      2.02275    -0.247858
      1.73545     0.551566
      3.27898     0.150155
      2.56210    -0.361736
      3.73766     0.783118
      2.52895    -0.296108
      2.29251    0.0955467
      3.38346      1.28206
      2.06028   -0.0122390
      3.25043     0.515532
      3.28508    -0.367411
      1.71321    -0.180385
      2.58383   -0.0686455
      2.65028    -0.141513
      2.22850    -0.197042
      2.30569    -0.104143
      3.28403     0.347095
      2.68139   -0.0514517
      1.59830    -0.311966
      2.12239    -0.149128
      2.93246    -0.584149
     0.793290     -2.62953
      1.43838     -1.28163
      2.83693     0.410310
      1.71405     -1.59005
      3.32944     0.414623
      2.29835     0.616671
      3.00648     0.195956
      2.68699     -1.26246
      3.60050     0.398869
      2.86434     0.599086
      2.77400     0.376993
      2.59330    -0.122869
      1.82899   -0.0128174
      3.02859     0.360458
      4.57308      1.14787
      1.64686     -1.76288
      3.25607     0.384772
      2.96892   -0.0528078
      3.15726     0.575558
      3.75980      1.07657
      3.21655     0.857697
      1.93182   -0.0544276
      2.41092    -0.222183
      2.49467     0.312540
      2.46203     0.632394
      2.38345    -0.369237
      1.89273    -0.120861
      3.24539      1.10959
      2.52440     0.468192
      2.61339     0.621855
      3.29214     0.765958
      1.59864     0.455582
      3.22491     0.424176
      2.77314    -0.210959
      1.62368    -0.239719
      2.31211     0.305290
      2.41121   -0.0142150
      3.15252     0.253406
      3.18072     0.885158
      2.02900    -0.109402
      2.33631     0.358556
      2.80739     0.200438
      2.69556    0.0853634
      2.38447    -0.288239
      4.03620     0.793941
      2.32885     0.260969
      3.38947     0.266203
      2.74882    -0.439037
      3.14892     0.840267
      1.85973     0.186045
      3.48055     0.647478
      2.98394     0.527886
      1.78633    -0.759483
      3.32278     0.658278
      2.43902    0.0907211
      1.84257     0.856062
      2.67645    0.0810556
      2.81178     0.800440
      3.54060     0.176938
      2.05450     0.279908
      3.14426    -0.283763
      3.90296      1.56448
      3.57812    0.0730648
      2.72086      1.08739
      2.84001     0.615363
      2.85117     0.466765
      2.56744     0.343958
      2.42729      1.02221
      4.94145      1.27564
      2.62972   -0.0266972
      1.52609    -0.242077
      4.79700      1.42031
      2.48144    -0.469448
      2.30821     0.534632
      3.23934     0.672164
      2.99633     0.681583
      2.95469      1.07033
      2.20024     0.415087
      3.02702     0.148259
      2.40034     0.383904
      2.01253  -0.00138474
      2.61256     0.462420
      2.27368     0.240826
      1.40050    0.0244327
      2.30686     0.900396
      3.24364    -0.130388
      2.50114     0.262763
      2.94445     0.621058
      3.67367     0.460982
      2.31388     0.477231
      3.64090      1.24276
      3.63205     0.258219
      1.96196   -0.0665922
      2.93125     0.573375
      3.63915     0.659757
      3.17555     0.134888
      2.55862    -0.899190
      2.93834     0.238260
      3.16688    0.0790434
      2.56439    -0.165771
      2.77625    -0.519890
      2.88403    -0.709878
      2.89354     0.829978
      2.92762     0.895914
      2.24325     0.346044
      1.85859   0.00833416
      2.16448     0.434847
      2.97535      1.00019
      3.07856     0.304045
      2.07174     0.206218
      2.80567     0.287374
      3.01645     0.123197
      2.06493   -0.0938148
      1.99748     0.381424
      3.03212    -0.651182
      2.30925   -0.0184984
      1.52068     -1.43483
      2.03612    0.0117869
